"ID"	"largest_party"	"largest_party_percent"	"valdeltagande"	"KLARA_VALDISTRIKT"	"ALLA_VALDISTRIKT"	"MANDAT_M"	"MANDAT_ANDRING_M"	"ROSTER_M"	"PROCENT_M"	"PROCENT_ANDRING_M"	"MANDAT_C"	"MANDAT_ANDRING_C"	"ROSTER_C"	"PROCENT_C"	"PROCENT_ANDRING_C"	"MANDAT_FP"	"MANDAT_ANDRING_FP"	"ROSTER_FP"	"PROCENT_FP"	"PROCENT_ANDRING_FP"	"MANDAT_KD"	"MANDAT_ANDRING_KD"	"ROSTER_KD"	"PROCENT_KD"	"PROCENT_ANDRING_KD"	"MANDAT_S"	"MANDAT_ANDRING_S"	"ROSTER_S"	"PROCENT_S"	"PROCENT_ANDRING_S"	"MANDAT_V"	"MANDAT_ANDRING_V"	"ROSTER_V"	"PROCENT_V"	"PROCENT_ANDRING_V"	"MANDAT_MP"	"MANDAT_ANDRING_MP"	"ROSTER_MP"	"PROCENT_MP"	"PROCENT_ANDRING_MP"	"MANDAT_SD"	"MANDAT_ANDRING_SD"	"ROSTER_SD"	"PROCENT_SD"	"PROCENT_ANDRING_SD"	"MANDAT_FI"	"MANDAT_ANDRING_FI"	"ROSTER_FI"	"PROCENT_FI"	"PROCENT_ANDRING_FI"
"0780"	"S"	"S"	"85,7"	50	50	0	0	13216	24.1	-7.5	0	0	4235	7.7	0.2	0	0	2343	4.3	-2.9	0	0	2761	5	-0.9	0	0	17161	31.3	2.5	0	0	2801	5.1	-0.1	0	0	3855	7	-0.6	0	0	6739	12.3	7.2	0	0	1278	2.3	2
"1487"	"S"	"S"	"83,0"	30	30	0	0	4205	17.8	-8.2	0	0	1556	6.6	0.8	0	0	1138	4.8	-2.6	0	0	1058	4.5	-0.9	0	0	8296	35.1	0.9	0	0	1566	6.6	-0.1	0	0	1404	5.9	-1.1	0	0	3788	16	9.7	0	0	451	1.9	1.4
"1765"	"S"	"S"	"80,6"	6	6	0	0	1029	19.1	-5.4	0	0	676	12.6	-1.6	0	0	308	5.7	-1.5	0	0	431	8	-0.4	0	0	1591	29.6	-2.4	0	0	171	3.2	0	0	0	124	2.3	-0.6	0	0	977	18.2	11.5	0	0	36	0.7	0.6
"1293"	"S"	"S"	"83,3"	32	32	0	0	6019	18.9	-10	0	0	1946	6.1	-1.9	0	0	1218	3.8	-2	0	0	1650	5.2	-0.7	0	0	9550	30	1.5	0	0	981	3.1	-0.1	0	0	2165	6.8	0.9	0	0	7534	23.7	10.7	0	0	539	1.7	1.5
"2403"	"S"	"S"	"78,6"	1	1	0	0	321	21.4	-5.1	0	0	183	12.2	-1.9	0	0	84	5.6	-2.4	0	0	92	6.1	-0.4	0	0	571	38.1	1.9	0	0	65	4.3	0.6	0	0	26	1.7	-0.2	0	0	141	9.4	7	0	0	11	0.7	0.7
"1445"	"S"	"S"	"83,2"	3	3	0	0	863	24.4	-7.1	0	0	412	11.7	-1	0	0	102	2.9	-2.1	0	0	150	4.2	-2.2	0	0	1094	30.9	1.5	0	0	131	3.7	-0.1	0	0	142	4	0.1	0	0	561	15.9	9.7	0	0	63	1.8	1.7
"1439"	"S"	"S"	"82,9"	4	4	0	0	536	13.1	-11.3	0	0	574	14	-1	0	0	130	3.2	-1.7	0	0	155	3.8	-1.5	0	0	1398	34.2	0	0	0	138	3.4	-0.7	0	0	99	2.4	-0.4	0	0	986	24.1	15.6	0	0	43	1.1	0.9
"1438"	"S"	"S"	"80,9"	6	6	0	0	519	18.6	-8.5	0	0	381	13.7	-2.2	0	0	78	2.8	-1.8	0	0	199	7.1	-2.3	0	0	822	29.5	0.9	0	0	72	2.6	-1.2	0	0	75	2.7	-0.8	0	0	571	20.5	14.3	0	0	37	1.3	1
"0512"	"S"	"S"	"89,2"	4	4	0	0	446	17.6	-7.8	0	0	414	16.4	0.2	0	0	86	3.4	-1.7	0	0	247	9.8	-1.7	0	0	743	29.4	1.1	0	0	83	3.3	0.4	0	0	105	4.1	-0.5	0	0	365	14.4	8.7	0	0	33	1.3	1.3
"1292"	"M"	"M"	"83,6"	22	22	0	0	7698	29.4	-11.2	0	0	1627	6.2	-0.3	0	0	1205	4.6	-1.9	0	0	1229	4.7	-1.2	0	0	7000	26.7	4	0	0	713	2.7	0.1	0	0	1501	5.7	-0.2	0	0	4640	17.7	10	0	0	399	1.5	1.3
